student_id,name,gender,class,subject,marks,attendance_percentage,study_hours
1054,Tariq Malik,Female,9-A,English,65.2,74.3,2.0
1078,Ali Awan,Female,9-A,Science,75.2,75.9,3.2
1118,Hassan Siddiqui,Female,10-B,Computer Science,55.5,75.2,0.0
1158,Danish Rana,Male,11-A,Mathematics,64.0,76.3,1.7
1234,Fatima Butt,Male,12-A,Science,78.7,82.2,3.6
1188,Maria Raza,Male,9-B,English,50.0,68.8,1.2
1024,Tariq Rana,Male,12-A,Computer Science,51.3,72.2,2.3
1167,Fatima Awan,Male,9-B,Computer Science,56.7,63.0,3.2
1155,Eman Sheikh,Female,12-A,Science,71.3,86.0,4.3
1016,Junaid Iqbal,Female,10-A,Mathematics,66.4,78.0,4.1
1013,Sana Awan,Female,10-B,Mathematics,35.6,59.5,1.0
1164,Zainab Chaudhry,Female,11-B,Mathematics,86.2,91.9,4.5
1192,Omar Malik,Male,12-B,Computer Science,81.2,85.0,5.6
1222,Fatima Hussain,Female,11-A,History,70.4,79.8,3.2
1041,Laiba Yousaf,Male,11-A,Computer Science,63.3,75.7,4.5
1008,Faizan Butt,Male,9-B,English,,63.3,2.7
1293,Owais Hussain,Female,9-A,Science,53.2,72.5,1.0
1221,Usman Rana,Male,11-B,English,48.2,54.6,2.0
1017,Warda Awan,Male,10-B,Mathematics,63.2,74.7,3.2
1169,Kinza Rana,Female,10-B,Science,65.0,81.3,0.0
1043,Bushra Qureshi,Male,9-B,Science,44.7,77.8,1.0
1122,Shahzaib Abbasi,Female,12-B,History,65.7,66.3,3.9
1011,Iqra Butt,Female,9-A,History,59.6,81.1,1.6
1082,Farah Rana,Female,9-A,History,46.5,68.3,2.3
1255,Shahzaib Qureshi,Male,10-B,English,58.5,,2.6
1172,Hira Yousaf,Female,10-B,Mathematics,86.4,88.5,5.4
1086,Hassan Mirza,Male,9-A,Science,53.9,77.0,2.1
1247,Ali Shah,Female,9-A,Science,44.3,53.1,0.0
1294,Saad Ahmed,Female,12-B,History,91.7,85.3,4.3
1210,Ayesha Sheikh,Female,12-B,Mathematics,69.4,73.6,3.8
1253,Ali Qureshi,Female,10-A,English,55.8,77.0,2.4
1154,Arham Abbasi,Female,11-A,English,86.4,96.1,4.2
1205,Javeria Malik,Female,9-A,Science,75.9,78.1,4.8
1209,Zainab Baig,Female,12-B,Mathematics,29.0,57.8,0.2
1236,Shahzaib Rana,Male,9-B,English,43.8,63.3,1.2
1254,Omar Shah,Female,12-B,English,63.4,64.3,3.9
1297,Faizan Awan,Female,12-B,Science,53.9,70.9,3.1
1244,Ali Raza,Female,9-A,Science,,61.5,1.8
1242,Faizan Butt,Female,12-B,Science,72.5,93.3,4.7
1021,Noman Shah,Male,11-B,English,66.8,79.8,2.1
1246,Zainab Chaudhry,Male,10-A,Mathematics,71.2,79.2,3.9
1248,Rabia Malik,Male,12-A,English,70.7,82.4,3.4
1135,Sana Hussain,Female,12-B,Science,66.2,69.4,2.6
1039,Ahmed Shah,Female,9-B,Mathematics,84.6,98.5,4.9
1105,Bushra Chaudhry,Female,11-B,Science,58.8,79.1,3.3
1285,Ali Raza,Female,9-A,Mathematics,52.1,70.4,2.0
1221,Usman Rana,Male,11-B,History,50.1,54.6,2.0
1293,Owais Hussain,Female,9-A,History,46.3,72.5,1.0
1258,Zainab Mirza,Female,12-B,Mathematics,69.9,83.8,5.7
1147,Rabia Hussain,Female,12-A,Science,-5.0,66.2,3.0
1158,Danish Rana,Male,11-A,Science,64.7,76.3,1.7
1048,Sana Abbasi,Female,12-A,Science,62.4,84.8,2.5
1120,Hassan Hussain,Female,11-A,Computer Science,61.0,86.6,1.8
1034,Zainab Chaudhry,Male,12-A,English,89.6,76.3,5.2
1137,Warda Baig,Male,11-A,Mathematics,57.1,72.9,1.8
1034,Zainab Chaudhry,Male,12-A,Computer Science,74.6,76.3,5.2
1115,Warda Shah,Female,11-B,English,68.1,74.3,2.9
1097,Mahnoor Baig,Female,11-B,Science,60.7,80.2,2.8
1104,Bilal Yousaf,Male,12-A,Science,53.6,73.3,0.4
1213,Hassan Sheikh,Female,9-B,Computer Science,56.2,74.0,1.2
1073,Nida Sheikh,Female,12-B,Science,64.4,78.5,2.3
1131,Rabia Mirza,Female,12-B,Computer Science,62.3,74.4,3.1
1143,Arham Ahmed,Female,10-B,Science,53.9,80.1,2.4
1100,Javeria Javed,Male,10-A,Science,41.3,72.2,
1140,Javeria Mirza,Female,12-B,History,66.8,68.6,3.4
1258,Zainab Mirza,Female,12-B,Science,64.0,83.8,5.7
1172,Hira Yousaf,Female,10-B,English,98.7,88.5,5.4
1140,Javeria Mirza,Female,12-B,English,67.1,68.6,3.4
1286,Eman Qureshi,Male,12-B,English,78.7,150.0,4.5
1010,Sana Mirza,Female,10-B,History,56.6,82.0,3.6
1112,Saad Ahmed,Female,10-A,Computer Science,79.7,84.6,4.4
1182,Nida Siddiqui,Male,11-A,Computer Science,,72.0,2.1
1201,Warda Mirza,Female,9-A,History,46.5,65.8,0.8
1162,Eman Iqbal,Male,11-B,History,51.3,60.0,1.9
1052,Komal Ahmed,Male,11-A,History,65.1,88.1,2.3
1175,Bushra Malik,Male,9-B,English,73.8,66.8,4.4
1087,Bilal Rana,Male,9-B,English,49.2,57.8,0.6
1060,Nida Malik,Female,11-A,Computer Science,72.9,85.0,0.1
1091,Junaid Qureshi,Male,9-B,Science,74.4,83.5,2.9
1264,Bilal Yousaf,Female,12-A,English,49.3,59.9,1.6
1061,Faizan Chaudhry,Female,11-B,Computer Science,70.0,,1.3
1155,Eman Sheikh,Female,12-A,Computer Science,82.2,86.0,4.3
1142,Eman Khan,Female,12-B,History,64.5,63.7,0.0
1194,Hassan Baig,Male,10-B,Science,64.1,81.5,2.2
1127,Sana Khan,Female,11-A,English,64.8,72.9,1.6
1266,Kinza Yousaf,Female,11-A,Computer Science,70.3,68.2,4.2
1240,Bushra Iqbal,Male,11-A,Mathematics,43.6,69.6,0.3
1058,Danish Ahmed,Male,12-B,Mathematics,37.5,66.6,1.3
1089,Ahmed Khan,Male,12-B,English,28.3,65.9,0.0
1155,Eman Sheikh,Female,12-A,English,81.7,86.0,4.3
1179,Komal Malik,Male,10-A,English,64.0,72.6,2.7
1159,Ayesha Butt,Female,11-A,Science,36.8,64.3,1.2
1058,Danish Ahmed,Male,12-B,History,38.1,66.6,1.3
1004,Tariq Raza,Male,11-A,Computer Science,44.9,72.6,1.7
1093,Farah Hussain,Female,10-B,Mathematics,81.8,92.0,5.9
1255,Shahzaib Qureshi,Male,10-B,Mathematics,65.6,73.1,2.6
1148,Mahnoor Raza,Female,10-B,Mathematics,50.1,76.4,2.1
1098,Maria Farooq,Male,10-B,English,70.4,90.6,3.3
1118,Hassan Siddiqui,Female,10-B,English,58.7,75.2,0.0
1152,Imran Qureshi,Female,12-A,English,74.4,81.4,5.3
1001,Bilal Javed,Female,10-B,History,75.5,86.6,1.6
1059,Imran Yousaf,Male,12-A,English,61.9,77.4,3.0
1024,Tariq Rana, male ,12-A,Mathematics,56.9,72.2,2.3
1029,Kamran Abbasi,Female,10-B,Mathematics,64.4,72.4,1.0
1063,Sana Chaudhry,Male,11-B,Computer Science,51.1,80.1,3.3
1131,Rabia Mirza,Female,12-B,Mathematics,63.5,74.4,3.1
1221,Usman Rana,Male,11-B,Mathematics,34.8,54.6,2.0
1252,Tariq Malik,Female,10-A,Science,69.8,89.3,5.3
1039,Ahmed Shah,Female,9-B,Computer Science,88.6,98.5,4.9
1041,Laiba Yousaf,Male,11-A,Science,57.6,75.7,4.5
1010,Sana Mirza,Female,10-B,Computer Science,74.9,82.0,3.6
1047,Nida Hussain,Male,12-B,Science,71.9,84.9,5.1
1234,Fatima Butt,Male,12-A,Computer Science,87.0,82.2,3.6
1116,Javeria Khan,Female,12-B,Computer Science,62.5,80.5,2.0
1178,Eman Khan,Male,10-B,Mathematics,76.7,81.2,1.7
1021,Noman Shah,Male,11-B,Computer Science,60.1,79.8,2.1
1286,Eman Qureshi,Male,12-B,History,69.2,80.2,4.5
1278,Zara Iqbal,Male,12-B,Science,89.0,93.1,5.9
1146,Rabia Rana,Male,9-A,Mathematics,50.6,66.0,0.8
1189,Maria Farooq,Male,10-B,English,76.2,76.1,2.5
1197,Bushra Khan,Female,12-B,History,56.9,68.5,3.8
1144,Junaid Malik,Female,10-B,History,,77.5,3.3
1066,Ali Raza,Female,11-B,Mathematics,48.0,80.5,3.7
1050,Danish Chaudhry,Female,10-B,History,60.7,63.7,1.1
1037,Iqra Rana,Male,12-B,Science,61.0,85.1,3.6
1275,Omar Khan,Male,12-B,Mathematics,47.1,,3.6
1131,Rabia Mirza,Female,12-B,History,71.1,74.4,3.1
1280,Owais Javed,Male,11-A,History,67.8,78.2,5.0
1061,Faizan Chaudhry,Female,11-B,Science,62.9,75.1,1.3
1122,Shahzaib Abbasi,Female,12-B,English,67.8,66.3,3.9
1011,Iqra Butt,Female,9-A,Science,65.9,81.1,1.6
1298,Noman Farooq,Male,11-B,Computer Science,42.7,55.6,0.0
1126,Omar Mirza,Male,9-A,Mathematics,49.0,78.8,1.7
1082,Farah Rana,Female,9-A,Computer Science,60.2,68.3,2.3
1022,Javeria Baig,Female,10-B,History,55.4,67.7,2.3
1207,Bushra Raza,Female,11-B,Mathematics,56.5,73.8,2.7
1128,Farah Rana,Female,11-B,Mathematics,46.7,52.2,3.6
1156,Kinza Sheikh,Female,9-A,Computer Science,73.2,67.0,3.5
1282,Hamza Chaudhry,Male,9-A,Computer Science,46.3,68.3,0.5
1007,Owais Baig,Male,12-B,Mathematics,55.2,66.0,3.1
1295,Asad Ahmed,Female,12-A,History,51.4,71.8,4.6
1234,Fatima Butt,Male,12-A,English,68.6,82.2,3.6
1256,Shahzaib Sheikh,Male,10-B,Science,94.2,86.0,6.5
1279,Zainab Mirza,Male,12-B,Mathematics,52.3,68.6,3.5
1194,Hassan Baig,Male,10-B,Computer Science,75.5,81.5,2.2
1108,Maria Ahmed,Female,12-A,English,67.5,86.5,2.9
1167,Fatima Awan,Male,9-B,Mathematics,54.0,63.0,3.2
1271,Usman Sheikh,Male,9-A,Science,83.4,83.6,4.6
1230,Ali Malik,Male,12-A,Computer Science,51.1,66.3,1.0
1054,Tariq Malik,Female,9-A,History,58.6,74.3,2.0
1052,Komal Ahmed,Male,11-A,Mathematics,71.2,88.1,2.3
1036,Zainab Khan,Male,10-B,English,42.0,65.8,3.2
1052,Komal Ahmed,Male,11-A,Computer Science,70.6,88.1,2.3
1149,Imran Shah,Male,9-A,English,53.4,68.7,1.6
1193,Shahzaib Hussain,Female,11-A,English,64.3,60.1,3.9
1018,Danish Ahmed,Female,11-B,History,78.5,76.1,3.6
1241,Iqra Ahmed,Male,9-A,History,43.4,62.1,1.6
1282,Hamza Chaudhry,Male,9-A,History,46.8,68.3,0.5
1053,Owais Malik,Female,12-B,Computer Science,76.1,76.2,3.4
1264,Bilal Yousaf,Female,12-A,Mathematics,48.8,59.9,1.6
1082,Farah Rana,Female,9-A,Science,46.0,68.3,2.3
1127,Sana Khan,Female,11-A,Computer Science,59.8,72.9,1.6
1196,Kinza Javed,Female,9-B,English,64.3,70.0,3.0
1097,Mahnoor Baig,Female,11-B,Mathematics,64.3,80.2,2.8
1295,Asad Ahmed,Female,12-A,Computer Science,53.1,71.8,4.6
1285,Ali Raza,Female,9-A,English,70.2,70.4,2.0
1185,Rabia Malik,Male,12-B,History,41.3,65.2,0.0
1250,Bilal Qureshi,Female,12-A,Computer Science,45.4,63.9,0.9
1081,Ali Malik,Female,12-B,Mathematics,59.0,70.5,3.1
1057,Kinza Qureshi,Female,10-B,History,50.9,62.2,3.4
1214,Rimsha Yousaf,Male,11-B,Science,64.6,74.0,5.7
1281,Sana Baig,Female,10-B,English,64.1,71.5,0.5
1156,Kinza Sheikh,Female,9-A,English,73.0,67.0,3.5
1032,Rehan Awan,Male,10-A,History,72.9,87.9,3.5
1045,Eman Abbasi,Female,11-B,History,67.5,84.8,3.9
1199,Kinza Sheikh,Male,11-B,Science,71.3,81.4,2.7
1125,Rimsha Awan,Female,11-B,History,74.5,73.7,2.0
1160,Arham Yousaf,Female,11-A,Computer Science,52.7,,3.1
1291,Asad Shah,Female,9-B,Science,56.1,58.2,2.2
1197,Bushra Khan,Female,12-B,Mathematics,50.4,68.5,3.8
1234,Fatima Butt,Male,12-A,Mathematics,64.1,82.2,3.6
1125,Rimsha Awan,Female,11-B,English,65.1,73.7,2.0
1191,Eman Butt,Male,11-A,Mathematics,36.5,65.3,2.6
1019,Rimsha Butt,Male,11-B,Computer Science,64.1,79.7,3.4
1106,Tariq Butt,Female,9-B,History,86.8,92.0,3.0
1180,Bushra Shah,Male,12-B,Computer Science,45.7,59.1,0.2
1250,Bilal Qureshi,Female,12-A,Mathematics,46.6,63.9,0.9
1062,Fatima Hussain,Female,9-B,Computer Science,51.4,67.9,0.6
1236,Shahzaib Rana,Male,9-B,Computer Science,51.6,63.3,1.2
1141,Laiba Malik,Male,11-B,Mathematics,69.6,73.5,2.2
1226,Rimsha Hussain,Male,10-A,Computer Science,74.4,85.3,3.6
1123,Ayesha Javed,Female,9-A,Computer Science,58.6,66.2,2.8
1124,Sana Mirza,Male,9-A,Science,44.1,64.7,0.0
1014,Arham Qureshi,Male,11-A,Mathematics,69.0,79.3,3.5
1055,Sana Qureshi,Female,11-B,Mathematics,58.3,78.4,3.3
1067,Saad Baig,Female,9-A,Mathematics,23.1,62.0,0.0
1192,Omar Malik,Male,12-B,Computer Science,81.2,85.0,5.6
1152,Imran Qureshi,Female,12-A,Mathematics,60.7,81.4,5.3
1085,Imran Ahmed,Female,12-A,Science,69.5,73.9,3.9
1101,Hassan Ahmed,Male,10-A,History,73.8,76.8,4.7
1229,Junaid Javed,Male,9-A,Computer Science,59.6,83.5,2.5
1237,Javeria Baig,Male,11-A,Mathematics,48.7,82.9,4.0
1151,Hassan Khan,Male,9-A,Mathematics,,63.0,1.5
1052,Komal Ahmed,Male,11-A,History,65.1,88.1,2.3
1012,Kamran Javed,Female,10-B,Science,63.0,68.2,4.0
1029,Kamran Abbasi,Female,10-B,English,72.7,72.4,1.0
1262,Rimsha Sheikh,Female,12-B,English,97.0,96.0,5.8
1249,Eman Yousaf,Male,9-A,Computer Science,68.4,83.6,3.0
1100,Javeria Javed,Male,10-A,Mathematics,57.9,72.2,3.2
1086,Hassan Mirza,Male,9-A,History,54.3,77.0,2.1
1065,Hira Mirza,Female,11-A,Science,69.1,71.3,4.3
1103,Asad Butt,Male,11-A,English,44.4,45.2,0.4
1040,Nida Butt,Male,11-A,History,47.2,60.8,2.3
1032,Rehan Awan,Male,10-A,Computer Science,70.4,87.9,3.5
1046,Usman Khan,Female,11-A,English,71.5,69.9,3.3
1192,Omar Malik,Male,12-B,Mathematics,70.4,85.0,5.6
1120,Hassan Hussain,Female,11-A,Science,64.2,86.6,1.8
1116,Javeria Khan,Female,12-B,Mathematics,69.2,80.5,2.0
1107,Hira Mirza,Female,12-B,Science,72.8,81.9,2.2
1161,Rabia Farooq,Male,11-A,Computer Science,63.1,69.3,1.3
1193,Shahzaib Hussain,Female,11-A,Science,70.1,60.1,3.9
1245,Bilal Malik,Female,12-A,Mathematics,54.6,65.3,1.1
1191,Eman Butt,Male,11-A,Science,56.3,65.3,2.6
1133,Usman Shah,Male,10-B,Science,56.7,83.6,1.4
1018,Danish Ahmed,Female,11-B,English,75.5,76.1,3.6
1147,Rabia Hussain,Female,12-A,Mathematics,55.0,66.2,3.0
1164,Zainab Chaudhry,Female,11-B,Computer Science,82.6,91.9,4.5
1228,Laiba Farooq,Male,9-A,Mathematics,60.6,78.6,2.7
1181,Rabia Malik,Female,10-A,Mathematics,46.3,56.5,0.4
1163,Fatima Raza,Female,12-A,History,61.0,70.2,1.8
1072,Asad Ahmed,Male,11-B,Computer Science,73.3,78.3,5.1
1184,Iqra Hussain,Male,12-A,History,60.3,83.4,2.1
1255,Shahzaib Qureshi,Male,10-B,Computer Science,75.4,73.1,2.6
1025,Eman Qureshi,Male,11-B,Mathematics,46.9,67.9,1.9
1219,Kamran Butt,Female,9-B,Mathematics,96.1,100.0,4.0
1084,Fatima Ahmed,Female,11-A,History,41.4,55.7,0.0
1233,Kinza Raza,Female,12-A,English,70.3,83.4,3.4
1210,Ayesha Sheikh,Female,12-B,History,78.2,73.6,3.8
1038,Maria Awan,Male,10-A,Science,72.5,87.6,3.8
1227,Hira Rana,Male,9-B,History,65.5,82.4,
1075,Nida Chaudhry,Male,11-B,English,55.3,64.1,2.3
1136,Maria Rana,Male,9-B,Computer Science,37.2,65.0,0.3
1112,Saad Ahmed,Female,10-A,Science,71.4,84.6,4.4
1027,Faizan Butt,Male,12-B,History,62.6,63.6,3.3
1061,Faizan Chaudhry,Female,11-B,English,50.2,75.1,1.3
1257,Shahzaib Chaudhry,Female,9-B,History,66.6,71.1,2.3
1017,Warda Awan,Male,10-B,Science,68.9,74.7,3.2
1129,Faizan Rana,Female,10-A,History,39.1,57.6,0.1
1110,Hamza Abbasi,Female,11-A,English,15.7,51.1,0.0
1096,Kamran Hussain,Male,10-B,History,,78.1,4.9
1218,Imran Malik,Female,12-A,English,51.8,64.7,0.0
1085,Imran Ahmed,Female,12-A,Computer Science,69.3,73.9,3.9
1125,Rimsha Awan,Female,11-B,Mathematics,64.9,73.7,2.0
1222,Fatima Hussain,Female,11-A,Science,64.8,79.8,3.2
1242,Faizan Butt,Female,12-B,Computer Science,74.4,93.3,4.7
1299,Maria Malik, male ,9-B,Computer Science,64.2,61.3,2.8
1139,Mahnoor Javed,Female,10-B,History,67.0,87.5,3.2
1273,Noman Hussain,Male,10-B,Science,73.6,75.4,2.3
1232,Hira Farooq,Female,12-A,Science,77.4,74.8,2.8
1287,Zara Mirza,Female,11-A,English,50.7,70.0,2.6
1241,Iqra Ahmed,Male,9-A,Computer Science,36.8,62.1,1.6
1081,Ali Malik,Female,12-B,History,60.6,70.5,
1237,Javeria Baig,Male,11-A,History,51.8,82.9,4.0
1003,Zara Chaudhry,Male,12-B,English,66.7,82.3,3.6
1081,Ali Malik,Female,12-B,Science,65.9,70.5,3.1
1015,Warda Raza,Male,10-B,History,43.0,58.0,0.2
1291,Asad Shah,Female,9-B,Mathematics,42.8,58.2,2.2
1106,Tariq Butt,Female,9-B,English,71.8,92.0,3.0
1298,Noman Farooq,Male,11-B,English,40.1,55.6,
1062,Fatima Hussain,Female,9-B,Mathematics,47.8,67.9,0.6
1067,Saad Baig,Female,9-A,Science,24.9,,0.0
1099,Hassan Baig,Female,12-B,Science,68.6,79.3,3.6
1217,Arham Butt,Male,9-A,Computer Science,63.0,69.2,3.3
1237,Javeria Baig,Male,11-A,Science,52.9,82.9,4.0
1179,Komal Malik,Male,10-A,Mathematics,50.1,72.6,2.7
1033,Laiba Malik,Female,12-B,History,52.1,59.7,0.6
1010,Sana Mirza,Female,10-B,English,71.4,82.0,3.6
1123,Ayesha Javed,Female,9-A,History,64.7,66.2,2.8
1020,Farah Siddiqui,Female,10-A,History,27.5,55.5,0.0
1295,Asad Ahmed,Female,12-A,English,67.9,71.8,4.6
1180,Bushra Shah,Male,12-B,Mathematics,24.3,59.1,0.2
1111,Iqra Mirza,Female,11-B,History,61.1,72.0,2.6
1091,Junaid Qureshi,Male,9-B,History,90.3,83.5,2.9
1057,Kinza Qureshi,Female,10-B,Mathematics,44.1,62.2,3.4
1292,Ali Farooq,Female,10-B,Science,10.9,43.9,0.5
1063,Sana Chaudhry,Male,11-B,Science,61.0,80.1,3.3
1027,Faizan Butt,Male,12-B,Science,56.3,63.6,3.3
1173,Kinza Sheikh,Male,11-A,Science,75.6,77.6,5.3
1259,Rehan Shah,Female,10-B,History,70.6,74.2,3.5
1203,Omar Hussain,Female,11-A,Mathematics,78.1,81.9,4.2
1121,Fatima Iqbal,Female,11-B,English,34.3,54.1,0.3
1128,Farah Rana,Female,11-B,History,56.0,52.2,3.6
1044,Iqra Malik,Male,9-A,Mathematics,69.3,-10.0,3.2
1028,Kamran Khan,Male,12-B,Mathematics,53.0,68.8,2.7
1287,Zara Mirza,Female,11-A,Science,58.9,70.0,2.6
1249,Eman Yousaf,Male,9-A,History,74.8,83.6,3.0
1133,Usman Shah,Male,10-B,Mathematics,,83.6,1.4
1060,Nida Malik,Female,11-A,History,55.8,85.0,0.1
1278,Zara Iqbal,Male,12-B,History,89.8,93.1,5.9
1261,Fatima Rana,Male,10-B,Science,70.2,81.7,4.3
1133,Usman Shah,Male,10-B,Computer Science,57.0,83.6,1.4
1250,Bilal Qureshi,Female,12-A,Science,44.9,63.9,0.9
1150,Saad Khan,Male,9-B,History,88.4,78.2,4.3
1208,Kamran Iqbal,Male,11-B,Mathematics,63.4,80.0,4.2
1040,Nida Butt,Male,11-A,Mathematics,35.0,60.8,2.3
1074,Zainab Sheikh,Male,9-B,History,67.7,,2.2
1116,Javeria Khan,Female,12-B,English,59.4,80.5,2.0
1117,Arham Khan,Male,10-A,Science,58.8,68.9,0.1
1146,Rabia Rana,Male,9-A,Computer Science,54.7,66.0,0.8
1152,Imran Qureshi,Female,12-A,Computer Science,70.9,81.4,5.3
1230,Ali Malik,Male,12-A,History,46.6,66.3,1.0
1076,Saad Abbasi,Male,10-B,Mathematics,77.8,90.8,5.7
1069,Bilal Iqbal,Female,11-A,Science,62.2,71.5,3.5
1274,Usman Yousaf,Female,9-A,Science,49.2,74.6,1.9
1202,Bushra Awan,Male,10-A,Computer Science,91.9,97.6,6.5
1175,Bushra Malik,Male,9-B,Mathematics,71.7,66.8,4.4
1190,Noman Malik,Male,9-B,History,78.7,85.6,5.6
1012,Kamran Javed,Female,10-B,History,55.3,68.2,4.0
1077,Rabia Malik,Male,12-A,English,77.5,61.3,4.7
1279,Zainab Mirza,Male,12-B,English,64.7,68.6,3.5
1048,Sana Abbasi,Female,12-A,Computer Science,60.2,84.8,2.5
1142,Eman Khan,Female,12-B,English,48.2,63.7,0.0
1085,Imran Ahmed,Female,12-A,English,71.2,73.9,3.9
1176,Nida Raza,Male,9-A,Science,61.5,75.0,2.1
1219,Kamran Butt,Female,9-B,History,87.4,100.0,4.0
1153,Tariq Butt,Female,12-A,Science,44.1,67.9,1.5
1134,Noman Raza,Female,9-A,Computer Science,58.0,69.1,3.3
1006,Bushra Butt,Male,10-B,English,74.4,80.4,4.0
1295,Asad Ahmed,Female,12-A,Science,70.3,71.8,4.6
1290,Fatima Awan,Male,10-B,History,73.1,86.3,5.1
1106,Tariq Butt,Female,9-B,Computer Science,81.9,92.0,3.0
1026,Hamza Abbasi,Male,10-A,Science,69.7,86.6,2.0
1179,Komal Malik,Male,10-A,History,74.9,72.6,2.7
1159,Ayesha Butt,Female,11-A,History,54.8,64.3,1.2
1144,Junaid Malik,Female,10-B,Computer Science,71.8,77.5,3.3
1174,Mahnoor Shah,Female,10-B,History,91.0,82.5,4.5
1235,Warda Awan,Male,10-B,Mathematics,59.0,75.9,4.9
1070,Ahmed Qureshi,Male,10-B,History,66.3,77.9,3.9
1080,Zainab Malik,Male,12-B,Computer Science,56.1,72.6,3.6
1154,Arham Abbasi,Female,11-A,Mathematics,80.3,96.1,4.2
1019,Rimsha Butt,Male,11-B,Mathematics,69.4,79.7,3.4
1145,Warda Sheikh,Male,10-B,Computer Science,84.5,80.1,4.7
1268,Nida Rana,Male,9-A,Computer Science,79.0,69.1,4.9
1053,Owais Malik,Female,12-B,English,77.0,76.2,3.4
1180,Bushra Shah,Male,12-B,History,,59.1,0.2
1233,Kinza Raza,Female,12-A,History,69.3,83.4,3.4
1259,Rehan Shah,Female,10-B,Mathematics,72.5,74.2,3.5
1030,Hassan Iqbal,Female,10-A,History,62.9,68.0,2.3
1068,Fatima Mirza,Male,11-A,Science,73.3,75.9,2.6
1083,Hassan Butt,Male,12-B,Computer Science,70.8,77.6,
1079,Shahzaib Abbasi,Male,10-B,Mathematics,74.5,81.7,3.9
1202,Bushra Awan,Male,10-A,History,100.0,97.6,6.5
1016,Junaid Iqbal,Female,10-A,History,82.4,78.0,4.1
1222,Fatima Hussain,Female,11-A,Mathematics,69.2,79.8,3.2
1209,Zainab Baig,Female,12-B,Science,44.9,57.8,0.2
1175,Bushra Malik,Male,9-B,Computer Science,63.8,66.8,4.4
1008,Faizan Butt,Male,9-B,Mathematics,51.7,63.3,2.7
1296,Tariq Siddiqui,Male,12-A,Computer Science,83.4,86.4,3.5
1128,Farah Rana,Female,11-B,Science,50.9,52.2,3.6
1108,Maria Ahmed,Female,12-A,History,75.2,86.5,2.9
